Name,Age,Monthy Income,Accumulated Assets,Investment Goals,Risk Tolerance,Investment Experience
Catherine Diaz,43,115000000.0,189664500.45,Short-term,high,Under 3 year
John Benson,33,67000000.0,114362717.81,Medium-term,high,Under 8 year
Anna Harvey,44,75000000.0,171765562.28,Medium-term,medium,Under 8 year
William Baker,58,16000000.0,29041230.47,Medium-term,high,Under 6 year
Rachael Foley,44,127000000.0,304675504.9,Short-term,medium,Under 3 year
Deborah Ryan,60,120000000.0,220433741.62,Long-term,high,Under 4 year
Mrs. Cheryl Gray MD,24,47000000.0,77601139.78,Short-term,high,Under 2 year
Dr. Anthony Collins,19,120000000.0,278366229.7,Short-term,high,Under 6 year
Daniel Wiggins,57,128000000.0,247773433.66,Long-term,high,Under 7 year
Martha Fowler,65,56000000.0,109707164.7,Long-term,low,Under 4 year
Robert Smith,25,72000000.0,114658888.03,Long-term,low,Under 1 year
Robert Mitchell,59,71000000.0,124787254.3,Short-term,low,Under 9 year
Travis Lam,47,44000000.0,123177100.85,Medium-term,low,Under 4 year
Pamela Lee,50,84000000.0,162087837.65,Long-term,low,Under 5 year
Kristina Roberts DVM,40,57000000.0,111377618.53,Long-term,high,Under 8 year
Alexander Wilson,32,84000000.0,152978517.4,Long-term,medium,Under 1 year
Sally Gutierrez,42,8000000.0,22979883.66,Medium-term,low,Under 6 year
Daniel Adams,31,41000000.0,66768011.72,Medium-term,high,Under 2 year
Matthew Thompson,25,115000000.0,174097341.03,Short-term,low,Under 0 year
Jacob Vargas,44,41000000.0,75798428.69,Medium-term,high,Under 5 year
Wayne Moore,51,104000000.0,203287200.61,Medium-term,medium,Under 7 year
Jason Chambers,34,138000000.0,248169570.7,Medium-term,high,Under 1 year
Jason Simpson,29,135000000.0,295056979.18,Long-term,medium,Under 6 year
Veronica Parker,52,63000000.0,106659244.42,Short-term,high,Under 9 year
Charles Cross,24,22000000.0,50326464.82,Short-term,medium,Under 2 year
Lauren Patel,40,77000000.0,214954445.34,Medium-term,high,Under 0 year
Justin Melendez,50,109000000.0,248490979.58,Long-term,low,Under 8 year
Robert Oliver,57,139000000.0,339521524.68,Long-term,low,Under 4 year
Marcus Hernandez,62,91000000.0,176143751.08,Long-term,medium,Under 6 year
David Newman,62,53000000.0,148524207.63,Short-term,high,Under 0 year
David Dougherty,26,78000000.0,214477920.13,Medium-term,low,Under 8 year
Johnny Cox,32,129000000.0,361839092.19,Long-term,high,Under 4 year
Stephanie Wiley,29,16000000.0,42624722.64,Long-term,high,Under 5 year
Regina Beasley,26,7000000.0,13876822.31,Long-term,high,Under 8 year
Stephanie Brooks,46,89000000.0,158053204.81,Medium-term,low,Under 5 year
David Valdez,37,38000000.0,60560836.92,Medium-term,high,Under 4 year
